City,2021-03-26 10:06 UTC,2021-03-26 10:24 UTC,2021-03-26 10:28 UTC,2021-03-26 10:47 UTC,2021-03-26 12:26 UTC,2021-03-26 12:37 UTC,2021-03-26 12:48 UTC,2021-03-26 12:59 UTC,2021-03-26 13:10 UTC,2021-03-26 13:21 UTC,2021-03-26 13:32 UTC,2021-03-26 13:43 UTC,2021-03-26 13:54 UTC,2021-03-26 14:05 UTC,2021-03-26 14:16 UTC,2021-03-26 14:27 UTC,2021-03-26 14:38 UTC,2021-03-26 14:49 UTC,2021-03-26 15:00 UTC,2021-03-26 15:11 UTC,2021-03-26 15:23 UTC,2021-03-26 15:34 UTC,2021-03-26 15:45 UTC,2021-03-26 15:56 UTC,2021-03-26 16:07 UTC,2021-03-26 16:18 UTC,2021-03-26 16:29 UTC,2021-03-26 16:40 UTC,2021-03-26 16:51 UTC,2021-03-26 17:02 UTC,2021-03-26 17:13 UTC,2021-03-26 17:24 UTC,2021-03-26 17:35 UTC,2021-03-26 17:46 UTC,2021-03-26 17:57 UTC,2021-03-26 18:08 UTC,2021-03-26 18:19 UTC,2021-03-26 18:30 UTC,2021-03-26 18:41 UTC,2021-03-26 18:52 UTC,2021-03-26 19:03 UTC,2021-03-26 19:14 UTC,2021-03-26 19:36 UTC,2021-03-26 19:47 UTC,2021-03-26 19:58 UTC,2021-03-26 20:09 UTC,2021-03-26 20:19 UTC,2021-03-26 20:31 UTC,2021-03-26 20:44 UTC,2021-03-26 20:55 UTC,2021-03-26 21:06 UTC,2021-03-26 21:17 UTC,2021-03-26 21:28 UTC,2021-03-26 21:45 UTC,2021-03-26 21:56 UTC,2021-03-26 22:07 UTC,2021-03-26 22:18 UTC,2021-03-26 22:29 UTC,2021-03-26 22:40 UTC,2021-03-26 22:51 UTC,2021-03-26 23:02 UTC,2021-03-26 23:13 UTC,2021-03-26 23:24 UTC,2021-03-26 23:49 UTC,2021-03-27 00:00 UTC,2021-03-27 00:11 UTC,2021-03-27 00:32 UTC,2021-03-27 00:43 UTC,2021-03-27 00:54 UTC,2021-03-27 01:06 UTC,2021-03-27 01:18 UTC,2021-03-27 01:29 UTC,2021-03-27 01:40 UTC,2021-03-27 01:51 UTC,2021-03-27 02:02 UTC,2021-03-27 02:09 UTC,2021-03-27 02:20 UTC,2021-03-27 02:32 UTC,2021-03-27 02:43 UTC,2021-03-27 02:54 UTC,2021-03-27 03:05 UTC,2021-03-27 03:16 UTC,2021-03-27 03:27 UTC,2021-03-27 03:38 UTC,2021-03-27 03:49 UTC,2021-03-27 04:00 UTC,2021-03-27 04:11 UTC,2021-03-27 04:23 UTC,2021-03-27 04:34 UTC,2021-03-27 04:45 UTC,2021-03-27 04:56 UTC,2021-03-27 05:07 UTC,2021-03-27 05:18 UTC,2021-03-27 05:29 UTC,2021-03-27 05:40 UTC,2021-03-27 05:51 UTC,2021-03-27 06:03 UTC,2021-03-27 06:14 UTC,2021-03-27 06:25 UTC,2021-03-27 06:36 UTC,2021-03-27 06:47 UTC,2021-03-27 06:58 UTC,2021-03-27 07:10 UTC,2021-03-27 07:21 UTC,2021-03-27 07:32 UTC,2021-03-27 07:43 UTC,2021-03-27 07:54 UTC,2021-03-27 08:05 UTC,2021-03-27 08:16 UTC,2021-03-27 08:27 UTC,2021-03-27 08:38 UTC,2021-03-27 08:49 UTC,2021-03-27 09:00 UTC,2021-03-27 09:11 UTC,2021-03-27 09:22 UTC,2021-03-27 09:33 UTC,2021-03-27 09:44 UTC,2021-03-27 09:56 UTC,2021-03-27 10:07 UTC,2021-03-27 10:18 UTC,2021-03-27 10:30 UTC,2021-03-27 10:41 UTC,2021-03-27 10:52 UTC,2021-03-27 11:03 UTC,2021-03-27 11:14 UTC,2021-03-27 11:25 UTC,2021-03-27 11:36 UTC,2021-03-27 11:47 UTC,2021-03-27 11:58 UTC,2021-03-27 12:09 UTC,2021-03-27 12:20 UTC,2021-03-27 12:31 UTC,2021-03-27 12:42 UTC,2021-03-27 12:53 UTC,2021-03-27 13:04 UTC,2021-03-27 13:15 UTC,2021-03-27 13:26 UTC,2021-03-27 13:37 UTC,2021-03-27 13:49 UTC,2021-03-27 14:00 UTC,2021-03-27 14:11 UTC,2021-03-27 14:22 UTC,2021-03-27 14:33 UTC,2021-03-27 14:44 UTC,2021-03-27 14:55 UTC,2021-03-27 15:06 UTC,2021-03-27 15:17 UTC,2021-03-27 15:28 UTC,2021-03-27 15:39 UTC,2021-03-27 15:50 UTC,2021-03-27 16:01 UTC,2021-03-27 16:50 UTC
Abington,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Allentown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Altoona,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Ambler,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ambridge,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bedford,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bensalem,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Berwick,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False
Berwyn,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bethlehem,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
